Type,Time,Bid_Open,Bid_High,Bid_Low,Bid_Close,Ask_Open,Ask_High,Ask_Low,Ask_Close,Volume
Tick,2024-10-13 21:05:00+00:00,149.044,149.05,149.044,149.048,149.094,149.096,149.089,149.09,
Tick,2024-10-13 21:10:00+00:00,149.048,149.057,149.048,149.055,149.094,149.102,149.092,149.096,
Tick,2024-10-13 21:15:00+00:00,149.056,149.06,149.05,149.055,149.102,149.106,149.097,149.101,
Tick,2024-10-13 21:20:00+00:00,149.055,149.06,149.052,149.057,149.1,149.107,149.095,149.104,
Tick,2024-10-13 21:25:00+00:00,149.057,149.06,149.056,149.056,149.104,149.107,149.097,149.102,
Tick,2024-10-13 21:30:00+00:00,149.056,149.071,149.055,149.066,149.103,149.118,149.102,149.113,
Tick,2024-10-13 21:35:00+00:00,149.065,149.075,149.065,149.075,149.112,149.12,149.112,149.12,
Tick,2024-10-13 21:40:00+00:00,149.075,149.096,149.069,149.078,149.121,149.144,149.117,149.124,
Tick,2024-10-13 21:45:00+00:00,149.078,149.126,149.078,149.121,149.125,149.175,149.124,149.17,
Tick,2024-10-13 21:50:00+00:00,149.122,149.135,149.122,149.127,149.171,149.184,149.169,149.173,
Tick,2024-10-13 21:55:00+00:00,149.128,149.13,149.115,149.115,149.174,149.176,149.16,149.16,
Tick,2024-10-13 22:00:00+00:00,149.12,149.248,149.115,149.178,149.164,149.275,149.16,149.205,
Tick,2024-10-13 22:05:00+00:00,149.179,149.19,149.154,149.183,149.206,149.207,149.174,149.201,
Tick,2024-10-13 22:10:00+00:00,149.184,149.255,149.179,149.226,149.202,149.273,149.197,149.244,
Tick,2024-10-13 22:15:00+00:00,149.226,149.24,149.185,149.23,149.248,149.258,149.202,149.248,
Tick,2024-10-13 22:20:00+00:00,149.23,149.249,149.222,149.225,149.249,149.266,149.24,149.243,
Tick,2024-10-13 22:25:00+00:00,149.225,149.255,149.207,149.25,149.242,149.272,149.225,149.268,
Tick,2024-10-13 22:30:00+00:00,149.249,149.285,149.249,149.254,149.267,149.303,149.267,149.272,
Tick,2024-10-13 22:35:00+00:00,149.254,149.293,149.254,149.273,149.273,149.311,149.273,149.291,
Tick,2024-10-13 22:40:00+00:00,149.273,149.287,149.273,149.284,149.292,149.305,149.292,149.302,
Tick,2024-10-13 22:45:00+00:00,149.285,149.29,149.277,149.284,149.303,149.307,149.294,149.302,
Tick,2024-10-13 22:50:00+00:00,149.284,149.294,149.28,149.287,149.301,149.312,149.298,149.305,
Tick,2024-10-13 22:55:00+00:00,149.287,149.331,149.287,149.328,149.306,149.348,149.306,149.346,
Tick,2024-10-13 23:00:00+00:00,149.327,149.384,149.326,149.342,149.345,149.402,149.344,149.359,
Tick,2024-10-13 23:05:00+00:00,149.341,149.342,149.281,149.281,149.36,149.36,149.298,149.299,
Tick,2024-10-13 23:10:00+00:00,149.282,149.333,149.266,149.321,149.3,149.351,149.283,149.339,
Tick,2024-10-13 23:15:00+00:00,149.321,149.35,149.286,149.287,149.338,149.368,149.304,149.305,
Tick,2024-10-13 23:20:00+00:00,149.286,149.288,149.241,149.243,149.304,149.305,149.259,149.261,
Tick,2024-10-13 23:25:00+00:00,149.243,149.256,149.223,149.234,149.262,149.273,149.241,149.252,
Tick,2024-10-13 23:30:00+00:00,149.233,149.299,149.232,149.291,149.251,149.316,149.25,149.309,
Tick,2024-10-13 23:35:00+00:00,149.291,149.3,149.279,149.298,149.308,149.318,149.296,149.316,
Tick,2024-10-13 23:40:00+00:00,149.299,149.333,149.279,149.33,149.314,149.351,149.297,149.348,
Tick,2024-10-13 23:45:00+00:00,149.331,149.335,149.296,149.3,149.349,149.353,149.314,149.318,
Tick,2024-10-13 23:50:00+00:00,149.3,149.301,149.278,149.287,149.319,149.319,149.296,149.305,
